"theta1","theta2","Loss"
-0.97,-0.18,7304.12806184934
-0.97,-0.17,7303.05207808153
-0.97,-0.16,7302.03702216122
-0.97,-0.15,7301.08291787019
-0.97,-0.14,7300.18978758002
-0.97,-0.13,7299.35765224945
-0.97,-0.12,7298.58653142202
-0.97,-0.11,7297.87644322383
-0.97,-0.1,7297.22740436142
-0.97,-0.09,7296.63943011987
-0.97,-0.08,7296.11253436103
-0.97,-0.07,7295.64672952193
-0.97,-0.0599999999999999,7295.24202661337
-0.97,-0.0499999999999999,7294.8984352186
-0.97,-0.04,7294.61596349224
-0.97,-0.03,7294.39461815935
-0.97,-0.02,7294.23440451465
-0.97,-0.01,7294.1353264219
-0.97,0,7294.09738631343
-0.97,0.01,7294.12058518993
-0.97,0.02,7294.20492262027
-0.97,0.03,7294.35039674154
-0.97,0.04,7294.55700425934
-0.97,0.05,7294.8247404481
-0.97,0.0600000000000001,7295.15359915162
-0.97,0.0700000000000001,7295.54357278383
-0.97,0.0800000000000001,7295.9946523296
-0.97,0.0900000000000001,7296.50682734583
-0.97,0.1,7297.08008596266
-0.97,0.11,7297.71441488477
-0.97,0.12,7298.40979939299
-0.97,0.13,7299.16622334593
-0.97,0.14,7299.98366918189
-0.97,0.15,7300.86211792085
-0.97,0.16,7301.80154916663
-0.97,0.17,7302.80194110928
-0.97,0.18,7303.86327052756
-0.97,0.19,7304.98551279157
-0.97,0.2,7306.16864186562
-0.97,0.21,7307.41263031118
-0.97,0.22,7308.71744929001
-0.97,0.23,7310.08306856748
-0.97,0.24,7311.50945651599
-0.97,0.25,7312.99658011859
-0.97,0.26,7314.54440497271
-0.97,0.27,7316.15289529411
-0.97,0.28,7317.82201392089
-0.97,0.29,7319.55172231776
-0.97,0.3,7321.34198058035
-0.97,0.31,7323.19274743973
-0.97,0.32,7325.10398026708
-0.97,0.33,7327.07563507849
-0.97,0.34,7329.1076665399
-0.97,0.35,7331.20002797217
-0.97,0.36,7333.35267135636
-0.97,0.37,7335.56554733904
-0.97,0.38,7337.83860523787
-0.97,0.39,7340.17179304718
-0.97,0.4,7342.5650574438
-0.97,0.41,7345.01834379299
-0.97,0.42,7347.53159615444
-0.97,0.43,7350.10475728851
-0.97,0.44,7352.73776866249
-0.97,0.45,7355.43057045712
-0.97,0.46,7358.18310157309
-0.97,0.47,7360.99529963775
-0.97,0.48,7363.86710101197
-0.97,0.49,7366.79844079704
-0.97,0.5,7369.78925284174
-0.97,0.51,7372.83946974952
-0.97,0.52,7375.94902288581
-0.97,0.53,7379.11784238542
-0.97,0.54,7382.34585716005
-0.97,0.55,7385.63299490594
-0.97,0.56,7388.97918211163
-0.97,0.57,7392.38434406577
-0.97,0.58,7395.84840486511
-0.97,0.59,7399.37128742254
-0.97,0.6,7402.95291347526
-0.97,0.61,7406.59320359306
-0.97,0.62,7410.29207718664
-0.97,0.63,7414.04945251606
-0.97,0.64,7417.86524669936
-0.97,0.65,7421.7393757211
-0.97,0.66,7425.67175444117
-0.97,0.67,7429.66229660355
-0.97,0.68,7433.71091484525
-0.97,0.69,7437.81752070525
-0.97,0.7,7441.98202463363
-0.97,0.71,7446.20433600065
-0.97,0.72,7450.48436310601
-0.97,0.73,7454.82201318816
-0.97,0.74,7459.21719243362
-0.97,0.75,7463.66980598646
-0.97,0.76,7468.17975795781
-0.97,0.77,7472.74695143542
-0.97,0.78,7477.37128849331
-0.97,0.79,7482.05267020148
-0.97,0.8,7486.79099663567
-0.97,0.81,7491.58616688718
-0.97,0.82,7496.43807907274
-0.97,0.83,7501.34663034449
-0.97,0.84,7506.31171689989
-0.97,0.85,7511.33323399182
-0.97,0.86,7516.41107593864
-0.97,0.87,7521.54513613431
-0.97,0.88,7526.73530705859
-0.97,0.89,7531.98148028722
-0.97,0.9,7537.2835465022
-0.97,0.91,7542.64139550207
-0.97,0.92,7548.05491621224
-0.97,0.93,7553.52399669538
-0.97,0.94,7559.04852416174
-0.97,0.95,7564.62838497965
-0.97,0.96,7570.26346468592
-0.97,0.97,7575.95364799634
-0.97,0.98,7581.69881881616
-0.97,0.99,7587.49886025064
-0.97,1,7593.35365461553
-0.96,-1,7588.38526644806
-0.96,-0.99,7582.51401196542
-0.96,-0.98,7576.69749661914
-0.96,-0.97,7570.93583860224
-0.96,-0.96,7565.22915532261
-0.96,-0.95,7559.57756339242
-0.96,-0.94,7553.98117861756
-0.96,-0.93,7548.44011598703
